description,link,parse_time,pub_date,title
"Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a ""medical complication,"" a source with knowledge of the matter told CNN on Monday.",https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,0.00018405914306640625,"Tue, 18 Apr 2023 00:27:07 GMT",Jamie Foxx remains hospitalized nearly a week after 'medical complication'
"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,0.00017213821411132812,"Wed, 19 Apr 2023 15:01:06 GMT",A 13-year-old dies after participating in a Benadryl TikTok 'challenge'
"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.",https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,0.0001709461212158203,"Tue, 18 Apr 2023 16:40:22 GMT",See pizza delivery guy take out suspect fleeing police
Netflix is officially winding down the business that helped make it a household name. ,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,0.0001728534698486328,"Tue, 18 Apr 2023 20:10:51 GMT",Netflix is winding down its DVD business after 25 years
"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday. ",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,0.00018787384033203125,"Tue, 18 Apr 2023 17:59:38 GMT",FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams
"Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.",https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,0.00018405914306640625,"Mon, 17 Apr 2023 16:02:46 GMT","Eating too much of these foods is driving the rise in type 2 diabetes, study says"
"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found. ",https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,0.00017213821411132812,"Tue, 25 Apr 2023 17:44:36 GMT",ADHD medication abuse in schools is a 'wake-up call'
CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports. ,https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,0.00020313262939453125,"Tue, 18 Apr 2023 09:17:25 GMT",Apple CEO was presented with an original Macintosh. See his reaction
"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.  ",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,0.0001709461212158203,"Tue, 18 Apr 2023 20:29:46 GMT",Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear
"• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow
• Putin visits Russian troops at military headquarters in Kherson
• Watch moment WSJ journalist appears in Russian court",https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,0.0001518726348876953,,"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials"
Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine. ,https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,0.00016689300537109375,"Tue, 18 Apr 2023 19:07:52 GMT",Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine
CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,0.0001709461212158203,"Tue, 18 Apr 2023 03:24:56 GMT",'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney
"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block. ",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,0.0001690387725830078,"Tue, 18 Apr 2023 22:03:13 GMT",GOP prepared to block vote to replace Feinstein on Senate Judiciary
,https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,0.00015211105346679688,"Tue, 18 Apr 2023 17:33:17 GMT",Oklahoma governor calls on officials to resign over recording of racist and threatening remarks
House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,0.0001742839813232422,"Tue, 18 Apr 2023 22:03:01 GMT",McCarthy slams Biden in handling of US debt 
"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,0.0001850128173828125,"Wed, 19 Apr 2023 08:35:33 GMT",US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant
"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,0.00017189979553222656,"Tue, 18 Apr 2023 09:41:42 GMT",Repeated gunshots fired on live TV as ex-lawmaker shot by assassins
