,title,authors,publish_date,text,url,duration
7,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Reserve The Galaxy Series For Free,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
8,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Get A,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
9,"OnePlus Watch 2 launches in gorgeous ‘Nordic Blue’ color, but not everywhere [Gallery]",Credit,2024-04-23 15:27:24+00:00,"After leaking recently, the OnePlus Watch 2 is now available in a gorgeous “Nordic Blue” color varia",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vOXRvNWdvb2dsZS5jb20vMjAyNC8wNC8yMy9vbmVwbHVzLXdhdGNoLTItbm9yZGljLWJsdWUtbGF1bmNoL9IBAA?oc=5,0.8928201198577881
0,The spam came from inside the house: How a smart TV can choke a Windows PC,Kevin Purdy,2024-04-23 22:15:01+00:00,"The modern ""smart"" TV asks a lot of us. In exchange for connecting you to a few streaming services y",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhZGdldHMvMjAyNC8wNC90aGUtc3BhbS1jYW1lLWZyb20taW5zaWRlLXRoZS1ob3VzZS1ob3ctYS1zbWFydC10di1jYW4tY2hva2UtYS13aW5kb3dzLXBjL9IBAA?oc=5,0.8878440856933594
0,Anne Hathaway says she had to kiss 10 men during ‘gross’ chemistry audition,Catherine Shoard,2024-04-23 11:34:22+00:00,"Anne Hathaway has revealed that in the 2000s, producers on a film she was starring in required her t",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9maWxtLzIwMjQvYXByLzIzL2FubmUtaGF0aGF3YXkta2lzcy0xMC1tZW4tZHVyaW5nLWdyb3NzLWNoZW1pc3RyeS1hdWRpdGlvbtIBZmh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9maWxtLzIwMjQvYXByLzIzL2FubmUtaGF0aGF3YXkta2lzcy0xMC1tZW4tZHVyaW5nLWdyb3NzLWNoZW1pc3RyeS1hdWRpdGlvbg?oc=5,0.6828291416168213
0,How Quentin Tarantino’s ‘The Movie Critic’ Fell Apart,Borys Kit Pamela Mcclintock James Hibberd,2024-04-23 20:45:27+00:00,"“I trust myself as a writer, I trust my process,” Quentin Tarantino declared onstage at the Adobe Ma",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9tb3ZpZXMvbW92aWUtZmVhdHVyZXMvcXVlbnRpbi10YXJhbnRpbm8tbW92aWUtY3JpdGljLXdoYXQtaGFwcGVuZWQtMTIzNTg3OTQ3OS_SAQA?oc=5,0.8303759098052979
1,How Quentin Tarantino’s ‘The Movie Critic’ Fell Apart,Borys Kit,2024-04-23 20:45:27+00:00,"“I trust myself as a writer, I trust my process,” Quentin Tarantino declared onstage at the Adobe Ma",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9tb3ZpZXMvbW92aWUtZmVhdHVyZXMvcXVlbnRpbi10YXJhbnRpbm8tbW92aWUtY3JpdGljLXdoYXQtaGFwcGVuZWQtMTIzNTg3OTQ3OS_SAQA?oc=5,0.8303759098052979
2,How Quentin Tarantino’s ‘The Movie Critic’ Fell Apart,Pamela Mcclintock,2024-04-23 20:45:27+00:00,"“I trust myself as a writer, I trust my process,” Quentin Tarantino declared onstage at the Adobe Ma",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9tb3ZpZXMvbW92aWUtZmVhdHVyZXMvcXVlbnRpbi10YXJhbnRpbm8tbW92aWUtY3JpdGljLXdoYXQtaGFwcGVuZWQtMTIzNTg3OTQ3OS_SAQA?oc=5,0.8303759098052979
3,How Quentin Tarantino’s ‘The Movie Critic’ Fell Apart,James Hibberd,2024-04-23 20:45:27+00:00,"“I trust myself as a writer, I trust my process,” Quentin Tarantino declared onstage at the Adobe Ma",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9tb3ZpZXMvbW92aWUtZmVhdHVyZXMvcXVlbnRpbi10YXJhbnRpbm8tbW92aWUtY3JpdGljLXdoYXQtaGFwcGVuZWQtMTIzNTg3OTQ3OS_SAQA?oc=5,0.8303759098052979
0,2024 mock draft: NFL Nation reporters' first-round predictions,Nfl Nation Reporters,,"Open Extended Reactions

You've read the latest mock drafts from our ESPN gurus, and now it's time f",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9kcmFmdDIwMjQvc3RvcnkvXy9pZC8zOTk2MzA3MC9tb2NrLWRyYWZ0LTIwMjQtbmZsLW5hdGlvbi1maXJzdC1yb3VuZC1wcmVkaWN0aW9uc9IBAA?oc=5,0.8505749702453613
1,2024 mock draft: NFL Nation reporters' first-round predictions,Sarah Barshop,,"Open Extended Reactions

You've read the latest mock drafts from our ESPN gurus, and now it's time f",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9kcmFmdDIwMjQvc3RvcnkvXy9pZC8zOTk2MzA3MC9tb2NrLWRyYWZ0LTIwMjQtbmZsLW5hdGlvbi1maXJzdC1yb3VuZC1wcmVkaWN0aW9uc9IBAA?oc=5,0.8505749702453613
2,2024 mock draft: NFL Nation reporters' first-round predictions,Mark Schlabach,,"Open Extended Reactions

You've read the latest mock drafts from our ESPN gurus, and now it's time f",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9kcmFmdDIwMjQvc3RvcnkvXy9pZC8zOTk2MzA3MC9tb2NrLWRyYWZ0LTIwMjQtbmZsLW5hdGlvbi1maXJzdC1yb3VuZC1wcmVkaWN0aW9uc9IBAA?oc=5,0.8505749702453613
